"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WSN_NP",92903.9450492549,21.0040064232285,1.47319126749588,14.2574877320112,4.02692134270087e-46,3.44850900438566e-43
"WSN_NS",56417.8457943966,20.3195776754617,1.4937331378664,13.6032181119618,3.83194220906532e-42,2.40645970729302e-39
"WSN_M",52777.5431738724,20.2149070897642,1.45880277268121,13.8571899288415,1.15092438768573e-43,8.33977517846123e-41
"WSN_HA",25044.1048216535,19.1713407477792,1.47400328935996,13.0063079819203,1.12654738831931e-38,5.89559799887103e-36
"WSN_PA",36047.2151975603,18.2293527772112,1.43611816820111,12.6934908149275,6.42566627876875e-37,2.7513534702728e-34
"WSN_PB1",155276.061970244,17.7860805164859,1.06141957847459,16.7568800097386,5.04408655207245e-63,9.5030590641045e-60
"WSN_PB2",67138.1878079769,17.2223105771972,0.83348907076922,20.6629111060843,7.47209809942264e-95,2.34623880321871e-91
"WSN_NA",17866.2300973104,17.2070936032424,1.44372642608052,11.9185278404558,9.47682844714685e-33,3.43352784508167e-30
"ENSG00000290915.1",205.190845421284,11.8544488028819,1.4775165337233,8.02322582002454,1.03003740684583e-15,9.51269840439975e-14
"ENSG00000253058.1",81.6288878238324,10.7414200676555,1.48496224139474,7.2334634297278,4.70829279181254e-13,2.77200738117963e-11
"ENSG00000286644.1",63.8564379085632,10.3350003606908,1.46839677923914,7.0382886334346,1.94615233696042e-12,1.00729423154764e-10
"ENSG00000284607.1",64.4577586565343,9.95034084743653,1.48903763699144,6.68239714043826,2.35064948382724e-11,9.84138583895671e-10
"ENSG00000157856.12",41.3061794590166,9.71905554145112,1.4897045814156,6.52414959495898,6.83884280049633e-11,2.59765722502723e-09
"ENSG00000173110.8",142.326918767252,9.43433536965419,1.04627773746163,9.01704684316686,1.93227804859844e-19,2.88921574885671e-17
"ENSG00000184368.16",22.7804237381727,8.93131572663827,1.51707214312191,5.88720567253905,3.9277980093906e-09,1.03641056718374e-07
"ENSG00000290068.1",77.5713050815442,8.80791359012531,1.28723869350893,6.84248666120771,7.78301546096183e-12,3.52480796357022e-10
"ENSG00000135114.14",18.8087525313846,8.77214351583329,1.49093647107993,5.88364674551115,4.01323938783764e-09,1.05599762663214e-07
"ENSG00000178217.15",21.8362892244261,8.70329912788797,1.55669675036741,5.59087640276364,2.25926361210686e-08,5.00759134730509e-07
"ENSG00000273338.1",15.7870900594385,8.53433079310916,1.56023845331982,5.46988876921352,4.50318103594112e-08,9.22173159968813e-07
"ENSG00000159164.10",15.8570872096673,8.52917448653517,1.53067567525722,5.572163080923,2.51595734459115e-08,5.51170190373225e-07
"ENSG00000177238.15",14.8097974704049,8.45250526217255,1.51955146993726,5.56250013862417,2.65936820292612e-08,5.79890010915835e-07
"ENSG00000289298.2",14.6752311592306,8.43794505266608,1.51136597295831,5.58299260644981,2.36414799315795e-08,5.21552086546788e-07
"ENSG00000143552.10",32.0033282529174,8.18592042693615,1.33878157821489,6.11445553191068,9.68871810391384e-10,2.95710047237651e-08
"ENSG00000236444.5",20.1005180281544,8.17703145438819,1.51968870621421,5.38072792207458,7.4185246181403e-08,1.44984443781912e-06
"ENSG00000287001.3",128253.889201326,8.13326157116844,0.335811578616339,24.2197175114697,1.37914377242783e-129,6.49576716813507e-126
"ENSG00000180353.11",14.4420206101899,8.11714188711259,1.56280281159622,5.19396422049042,2.05862721544724e-07,3.63832427195367e-06
"ENSG00000216915.2",14.3236346077274,8.08750695461334,1.5042988564016,5.37626344671913,7.60474975916277e-08,1.48316237538951e-06
"ENSG00000264910.2",41.1235134798699,8.0491330024087,1.3611254779992,5.91358631699454,3.34737978201679e-09,8.95804475755629e-08
"ENSG00000166796.12",10.6121379172055,7.98425049169047,1.51798341823602,5.25977451121871,1.44232159819558e-07,2.65787901262908e-06
"ENSG00000202515.1",14424.6347856425,7.96520158143819,0.26739544252104,29.788097756421,5.57161568376996e-195,5.24846197411131e-191
"ENSG00000261519.3",12.8699725940036,7.90511785539799,1.56058156587576,5.06549483106436,4.07340831878686e-07,6.6043900796854e-06
"ENSG00000283683.2",10.1402778419192,7.85149489458223,1.51310535362337,5.18899419381512,2.11432988293089e-07,3.72280140134746e-06
